dms_orig,dms_dest,wgt_dist
020,221,4036
020,222,3934
020,223,4025
020,229,3961
020,230,4891
020,241,4731
020,242,4710
020,249,4765
020,251,5035
020,259,5018
020,261,4239
020,262,4082
020,269,4135
020,271,3470
020,279,3399
020,280,4092
020,291,3578
020,292,3915
020,299,3799
020,300,3109
020,311,3476
020,319,3967
020,321,2549
020,329,2515
020,331,4981
020,339,4958
020,341,4195
020,342,4236
020,350,3152
020,361,4431
020,362,4560
020,363,4888
020,364,4288
020,369,4751
020,371,4232
020,372,4206
020,373,4274
020,379,4231
020,380,3775
020,391,3930
020,392,4017
020,393,3993
020,394,3875
020,399,3998
020,401,3535
020,402,3575
020,409,3558
020,411,2347
020,419,2515
020,421,4895
020,422,4755
020,423,3621
020,429,4826
020,441,4767
020,451,4638
020,452,4481
020,459,4627
020,460,3597
020,471,3963
020,472,4181
020,473,4324
020,479,4226
020,481,3726
020,482,3911
020,483,4340
020,484,3701
020,485,3233
020,486,3861
020,487,4326
020,488,4185
020,489,3691
020,491,3139
020,499,3357
020,500,4865
020,511,4557
020,512,4579
020,513,4488
020,519,4473
020,531,2254
020,532,2309
020,539,2436
020,540,4547
020,551,3933
020,559,3872
020,560,3456
041,011,1711
041,012,1664
041,019,1739
041,020,3279
041,041,50
041,042,127
041,049,175
041,050,1414
041,061,415
041,062,824
041,063,370
041,064,766
041,065,639
041,069,822
041,081,847
041,089,858
041,091,2587
041,092,2540
041,099,2603
041,101,2566
041,109,2416
041,111,2351
041,121,2041
041,122,2285
041,123,2111
041,124,2087
041,129,2093
041,131,1865
041,132,2066
041,139,2004
041,160,1187
041,171,1774
041,172,1651
041,179,1748
041,181,1799
041,182,1759
041,183,1876
041,189,1817
041,190,1694
041,201,1327
041,202,1100
041,209,1265
041,211,1860
041,212,1785
041,219,1828
041,221,1469
041,222,1335
041,223,1529
041,229,1424
041,230,3054
041,241,2332
041,242,2267
041,249,2347
041,251,2681
041,259,2672
041,261,2126
041,262,1965
041,269,2193
041,271,1834
041,279,1928
041,280,1537
041,291,1364
041,292,1476
041,299,1549
041,300,1332
041,311,1428
041,319,1297
041,321,453
041,329,667
041,331,2706
041,339,2686
041,341,2427
041,342,2419
041,350,577
041,361,2582
041,362,2355
041,363,2523
041,364,2319
041,369,2696
041,371,2088
041,372,2134
041,373,2208
041,379,2181
041,380,1697
041,391,1872
041,392,2057
041,393,1953
041,394,1868
041,399,1973
041,401,1006
041,402,1124
041,409,1143
041,411,1357
041,419,1350
041,421,2371
041,422,2125
041,423,2395
041,429,2285
041,441,2634
041,451,2271
041,452,2000
041,459,2107
041,460,1498
041,471,1508
041,472,1706
041,473,1886
041,479,1895
041,481,1008
041,482,1307
041,483,1183
041,484,1071
041,485,445
041,486,1165
041,487,1118
041,488,972
041,489,1086
041,491,695
041,499,492
041,500,2806
041,511,2302
041,512,2484
041,513,2284
041,519,2308
041,531,1536
041,532,1413
041,539,1498
041,540,2151
041,551,1873
041,559,1948
041,560,1072
042,011,1631
042,012,1568
042,019,1689
042,020,3030
042,041,125
042,042,47
042,049,273
042,050,1355
042,061,527
042,062,939
042,063,454
042,064,940
042,065,756
042,069,824
042,081,897
042,089,864
042,091,2665
042,092,2655
042,099,2699
042,101,2411
042,109,2673
042,111,2320
042,121,1972
042,122,2320
042,123,2189
042,124,2173
042,129,2114
042,131,1806
042,132,2002
042,139,1967
042,151,2804
042,159,2704
042,160,1460
042,171,1732
042,172,1443
042,179,1658
042,181,1782
042,182,1720
042,183,1873
042,189,1803
042,190,1614
042,201,1289
042,202,1129
042,209,1248
042,211,1814
042,212,1755
042,219,1849
042,221,1380
042,222,1265
042,223,1446
042,229,1376
042,230,2974
042,241,2432
042,242,2381
042,249,2374
042,251,2725
042,259,2717
042,261,2032
042,262,1904
042,269,2049
042,271,1768
042,279,1955
042,280,1476
042,291,1303
042,292,1429
042,299,1423
042,300,1413
042,311,1452
042,319,1425
042,321,577
042,329,791
042,331,2763
042,339,2866
042,341,2565
042,342,2574
042,350,570
042,361,2582
042,362,2281
042,363,2623
042,364,2349
042,369,2564
042,371,2213
042,372,2205
042,373,2278
042,379,2224
042,380,1714
042,391,1843
042,392,2120
042,393,1912
042,394,1823
042,399,2011
042,401,984
042,402,1045
042,409,1051
042,411,1466
042,419,1373
042,421,2482
042,422,2190
042,423,2526
042,429,2398
042,441,2676
042,451,2292
042,452,1919
042,459,2256
042,460,1527
042,471,1464
042,472,1682
042,473,1835
042,479,1787
042,481,937
042,482,1207
042,483,1068
042,484,972
042,485,375
042,486,1097
042,487,1034
042,488,916
042,489,978
042,491,834
042,499,771
042,500,2734
042,511,2421
042,512,2411
042,513,2384
042,519,2436
042,531,1664
042,532,1562
042,539,1605
042,540,2187
042,551,1828
042,559,1886
042,560,1073
049,011,1777
049,012,1651
049,019,1838
049,020,3459
049,041,168
049,042,266
049,049,116
049,050,1499
049,061,497
049,062,820
049,063,473
049,064,840
049,065,643
049,069,756
049,081,968
049,089,835
049,091,2658
049,092,2586
049,099,2697
049,101,2399
049,109,3000
049,111,2314
049,121,2166
049,122,2484
049,123,2341
049,124,2281
049,129,2257
049,131,1970
049,132,2156
049,139,2290
049,160,1283
049,171,1809
049,172,1620
049,179,1760
049,181,1819
049,182,1835
049,183,1958
049,189,1875
049,190,1671
049,201,1350
049,202,1200
049,209,1302
049,211,1846
049,212,1858
049,219,1881
049,221,1560
049,222,1420
049,223,1553
049,229,1480
049,230,2686
049,241,2262
049,242,2293
049,249,2278
049,251,2627
049,259,2595
049,261,2126
049,262,1798
049,269,2075
049,271,1965
049,279,1976
049,280,1616
049,291,1257
049,292,1561
049,299,1366
049,300,1330
049,311,1521
049,319,1425
049,321,300
049,329,791
049,331,2814
049,339,2549
049,341,2529
049,342,2401
049,350,563
049,361,2747
049,362,2398
049,363,2477
049,364,2447
049,369,2692
049,371,2228
049,372,2366
049,373,2385
049,379,2547
049,380,1592
049,391,1964
049,392,2265
049,393,2273
049,394,2161
049,399,2209
049,401,1119
049,402,1201
049,409,1203
049,411,1384
049,419,1420
049,421,2411
049,422,2295
049,423,2597
049,429,2503
049,441,2663
049,451,2248
049,452,1972
049,459,2095
049,460,1664
049,471,1616
049,472,1831
049,473,1972
049,479,1975
049,481,1141
049,482,1376
049,483,1292
049,484,1122
049,485,608
049,486,1305
049,487,1251
049,488,1095
049,489,1127
049,491,836
049,499,616
049,500,2627
049,511,2241
049,512,2534
049,513,2517
049,519,2325
049,531,1585
049,532,1402
049,539,1612
049,540,2278
049,551,1884
049,559,1935
049,560,1055
050,011,465
050,012,545
050,019,550
050,020,3828
050,041,1430
050,042,1353
050,049,1562
050,050,112
050,061,1791
050,062,2031
050,063,1750
050,064,2009
050,065,1881
050,069,2304
050,081,997
050,089,1168
050,091,1338
050,092,1338
050,099,1435
050,101,1199
050,109,1202
050,111,1099
050,121,921
050,122,1175
050,123,996
050,124,1016
050,129,1202
050,131,658
050,132,876
050,139,733
050,160,1922
050,171,664
050,172,410
050,179,573
050,181,638
050,182,603
050,183,699
050,189,630
050,190,712
050,201,453
050,202,512
050,209,605
050,211,640
050,212,569
050,219,640
050,221,489
050,222,471
050,223,591
